id	state	class	severity	recurrences	path	title
MIS-IOS-001	Active	data-integrity	critical (brick)	2	Active/MIS-IOS-001-appended-to-an-already-applied-migration.md	I edited a migration that had already run, and bricked launch
MIS-IOS-002	Active	data-integrity	critical (data loss)	1	Active/MIS-IOS-002-date-window-for-imap-sync.md	I windowed an IMAP sync query by date and deleted months of Archive
MIS-IOS-003	Active	design-process	high	4	Active/MIS-IOS-003-reconstructed-an-address-the-wire-already-gave-us.md	I designed machinery to reconstruct an address the server already told us
MIS-IOS-004	Active	data-integrity	critical (dropped user intention)	many	Active/MIS-IOS-004-conflated-unknown-with-authoritative-stale.md	I treated "I could not determine the answer" as "the provider said it's done"
MIS-IOS-005	Active	build-ops	high	2	Active/MIS-IOS-005-bare-xcodegen-broke-nse-signing.md	I ran `xcodegen generate` and silently killed smart push
MIS-IOS-006	Active	testing	high	4	Active/MIS-IOS-006-stale-test-bundle-reported-a-wrong-count.md	I reported a test count from a bundle that never rebuilt
MIS-IOS-007	Active	review-discipline	high	1	Active/MIS-IOS-007-read-the-first-create-table-as-the-effective-schema.md	I read the first `create(table:)` as the effective schema, after a later migration had replaced it
MIS-IOS-008	Active	review-discipline	high	1	Active/MIS-IOS-008-verified-the-recovery-path-not-the-states-where-it-cannot-run.md	I verified that a recovery path exists, without asking where that path is itself blocked
MIS-IOS-009	Active	documentation	high	7	Active/MIS-IOS-009-amended-a-hash-pinned-fragment-and-killed-the-verifier.md	I amended a hash-pinned Companion fragment in place, and the verifier died on line one
MIS-IOS-010	Active	data-integrity	critical (wrong-message mutation)	1	Active/MIS-IOS-010-bulk-write-selected-on-a-column-value-that-was-itself-a-guard.md	I designed a bulk write whose WHERE clause selected exactly the rows a guard was protecting
MIS-IOS-011	Active	design-process	high	1	Active/MIS-IOS-011-declared-a-residual-acceptable-on-an-argument-i-never-ran.md	I declared a residual acceptable on a safety argument I never actually ran
MIS-IOS-012	Active	census	high	1	Active/MIS-IOS-012-guarded-one-reader-on-a-caller-census-whose-grep-shape-hid-half-the-callers.md	I guarded a reader on a caller census whose grep shape hid half the callers
MIS-IOS-013	Active	data-integrity	high (wrong result shipped)	5	Active/MIS-IOS-013-asked-a-byte-level-question-with-a-grapheme-level-string-api.md	I asked a question about bytes another system parses, using a String API that groups them for human reading
MIS-IOS-014	Active	testing	medium	1	Active/MIS-IOS-014-wrote-a-red-first-proof-that-could-not-run-red.md	I wrote a red-first proof that could not run red — the inverted build trapped instead of failing
