order	status	source_lines	sha256	path	title
0	historical	1-7	7a5dbb5b6e1d124f51de94d55368a7f8be8a04bbbf0575c575877ee73cc936f4	Companion/Memory/History/000-original-project-memory-preamble.md	Original project-memory preamble
1	current	8-17	5f446763b3aba16233042458c7488849beee1af5dc245b8ce88c28d829951f38	Companion/Memory/Current/001-key-files.md	Key Files
2	current	18-30	e546e9129ae236a095c653974bd48f72636ba844996753050d5c3fe08509d574	Companion/Memory/Current/002-inbox-list-one-merged-read-model-adr-ios-055-2026-07-09-evening-supersed.md	Inbox list = ONE merged read-model (ADR-IOS-055, 2026-07-09 evening) — supersedes the same-day guard/carry-over fixes
3	current	31-36	f84f4091e75d76281af6edab5c9a74f4cd26e98e0de81217625ce89a9c1394f3	Companion/Memory/Current/003-summary-recipient-status-cc-detection-2026-07-04.md	Summary `recipient_status` (cc detection) — 2026-07-04
4	current	37-50	9cfd6f6b1365525ea9c0b137948b2b4b96dc940248e5f28babc77dc62c75ab5f	Companion/Memory/Current/004-imap-external-deletion-blind-spot-old-server-deleted-messages-linger-for.md	IMAP external-deletion blind spot — old server-deleted messages linger forever (audit 2026-07-02)
5	current	51-63	0752519e2b6f50acb9f64f67baa04031f2f6fe7eeff7b3886e7fe854f280064d	Companion/Memory/Current/005-cli-testing-breaks-with-simulator-device-failed-to-launch-launchd-job-sp.md	CLI testing breaks with "Simulator device failed to launch / Launchd job spawn failed" → app is UNSIGNED in DerivedData (2026-06-22)
6	current	64-75	c2839790341cf35e16bb655f436be116ef837e5f26efd927afdffb7b03bbfab9	Companion/Memory/Current/006-test-flakiness-userdefaults-suitename-isolation-falls-through-to-standar.md	Test flakiness: `UserDefaults(suiteName:)` isolation FALLS THROUGH to `.standard` — isolating a suite's WRITES is necessary but not sufficient (2026-06-22)
7	current	76-122	d5809e8c2b359ae70be25fc1424860f7e646e93d0ec4fc02d35ff9d40c3f2af0	Companion/Memory/Current/007-foreground-return-ui-freeze-main-actor-db-ops-must-not-block-2026-06-21.md	Foreground-return UI freeze — main-actor DB ops must not block (2026-06-21)
8	current	123-142	44f01b29dac5869227b79528c5441c3f22400b44bd7b335bf086dbcceeb8277e	Companion/Memory/Current/008-oauth-google-cloud.md	OAuth / Google Cloud
9	current	143-144	92b1783be495819decf79370914e72f1739e4b74cb4191fdf56e9b78cedc9a53	Companion/Memory/Current/009-architecture-patterns.md	Architecture Patterns
10	current	145-155	651cf9e2752d94b50768cd1536da767e5eb203d0269b70e6e028eb5e24fbed10	Companion/Memory/Current/010-email-image-aspect-ratio-distortion-gated-post-load-correction-2026-06-2.md	Email image aspect-ratio distortion — gated post-load correction (2026-06-26)
11	current	156-167	b0b3f12b5a8e95095b69396a17aebf7f90180067c922bc40de03c6c0cb17685f	Companion/Memory/Current/011-imap-connection-pool-supersedes-adr-ios-014.md	IMAP Connection Pool (supersedes ADR-IOS-014)
12	current	168-172	a287d3fa9fdefd9ac30d88ef65fd48b4e646c3cc8eba308f7e4e4c8408599906	Companion/Memory/Current/012-providerworkqueue-cancellation-semantics-2026-06-09.md	ProviderWorkQueue Cancellation Semantics (2026-06-09)
13	current	173-178	2256553596b3be7bb280ad3270939433e4e8c55317525bfe1e770e10a19c2044	Companion/Memory/Current/013-fts-tokenizer-no-tokenchars-adr-024-2026-06-09-lockstep-with-rust-crate.md	FTS Tokenizer — NO tokenchars (ADR-024, 2026-06-09, lockstep with Rust crate)
14	current	179-185	edef4cfa2a5a459aa07489c6df5d319d451eb179e1f61ea8f0ea29946cde16f2	Companion/Memory/Current/014-swiftui-preview-convention.md	SwiftUI preview convention
15	current	186-192	541f7a6de8f0b5784f9c3801b6b6c8d2b51dd648b50307e98ae94f6c99e23d67	Companion/Memory/Current/015-inbox-usage-throttle-banner-adr-ios-044.md	Inbox usage-throttle banner (ADR-IOS-044)
16	current	193-197	32977cbe32dd8fe0fd511ebf2ec575b10df83e8de18cc4c58b8c12f847137f13	Companion/Memory/Current/016-remote-search-searchview.md	Remote Search (SearchView)
17	current	198-206	82965319c6048001e77f43099c952d0c9779b2d338958a60b37a144b8edcac58	Companion/Memory/Current/017-fts-grdb-id-drift-folder-baked-into-the-key-indexed-but-unfindable-wrong.md	FTS↔GRDB id drift (folder baked into the key) — "indexed but unfindable" / wrong-subject class
18	current	207-213	1bee7587ff6f3b51b1ed691db34696e126d366e2e6e164f8a6849aeb9762380d	Companion/Memory/Current/018-searchable-but-can-t-open-no-snippet-not-in-its-folder-grdb-side-stuck-h.md	"Searchable but can't open / no snippet / not in its folder" — GRDB-side stuck headers (NOT FTS orphans), IMAP (under investigation 2026-06-22)
19	current	214-219	a8c3ff352434af54babb917d4399ea50d7d4252ad209fa204c29de0b58c9e542	Companion/Memory/Current/019-stale-detection-window-must-match-the-fetch-s-ordering-dimension-imap-ar.md	Stale-detection window MUST match the fetch's ordering dimension — IMAP Archive "missing months" data-loss (CONFIRMED ROOT CAUSE + FIXED 2026-06-23)
20	current	220-231	f7e95c5902717944606ac5bdf63e605687504b70e70be1170e965d651e4e89c2	Companion/Memory/Current/020-grdb-persistence.md	GRDB Persistence
21	current	232-238	619258acb13bb196c7116bc945f5e862af60201f20684e5c6190692d2a861504	Companion/Memory/Current/021-grdb-valueobservation-do-not-put-on-messageheader.md	GRDB ValueObservation — DO NOT put on `messageHeader`
22	current	239-245	148bdcfb8bdda343b2b420a291cabc78a0b62d1b4f8f2b227b4fe1539176f44d	Companion/Memory/Current/022-ai-priority-processing-adr-ios-013.md	AI Priority Processing (ADR-IOS-013)
23	current	246-269	d3911798db004e27449331e0b197394bbe707d39e73275219a159d372110d298	Companion/Memory/Current/023-imap-message-ids-uid-resolution.md	IMAP Message IDs & UID Resolution
24	current	270-273	289aa661cdf9693617f16c3f444de6467a04841dd33308c060adf16ca2b17d56	Companion/Memory/Current/024-ios-keychain-persistence.md	iOS Keychain Persistence
25	current	274-285	a9aeaaf234cfefb6549373b030c7e0c502b4804487b48e3afc34efd34166205b	Companion/Memory/Current/025-persistent-offline-action-queue-adr-ios-003-adr-ios-018.md	Persistent Offline Action Queue (ADR-IOS-003, ADR-IOS-018)
26	current	286-307	9c4e9039803654f21d507809a4de804440b958f80d8a8a1d3fb45589583c3fc6	Companion/Memory/Current/026-progressive-backfill-storage-budget-adr-ios-005-adr-ios-006.md	Progressive Backfill & Storage Budget (ADR-IOS-005, ADR-IOS-006)
27	current	308-310	e33705a10fb8b04a2e76157de99a4e56d2dc8c3e9010ef540991064a6399c6c2	Companion/Memory/Current/027-backfill-diagnostics-backfill-log-channel-2026-07-02.md	Backfill diagnostics: `backfill.log` channel (2026-07-02)
28	current	311-315	8b10a1b4966f072683148e2652519db2a08f4c31b457a4101fdfbb1094470bdb	Companion/Memory/Current/028-backfill-stall-fixes-2026-07-02-uid-remap-re-key-no-fast-sync-cursor-res.md	Backfill stall fixes (2026-07-02) — UID-remap re-key, no fast-sync cursor reset, persisted server limit
29	current	316-321	a2b9c6769e8f22ca28f2f81094a47eddc69d8c6de4df7f75e040f897a147d4da	Companion/Memory/Current/029-bodycomplete-fts-indexed-truth-display-cache-has-no-flag-adr-ios-050-202.md	`bodyComplete` = FTS-indexed truth; display cache has NO flag (ADR-IOS-050, 2026-07-02)
30	current	322-330	a4cd0ab121efecc707ce0810363cb33c30b87d6b08334aef7da5a9071613f421	Companion/Memory/Current/030-backfill-fast-sync-completion-gate-on-pendingbodycount-never-a-server-to.md	Backfill / Fast Sync Completion — gate on `pendingBodyCount`, NEVER a server total
31	current	331-339	b58d8845a4418547a67e9621702e3f10909bb8ad82244055e8b58fbfaa5150c2	Companion/Memory/Current/031-ever-rolling-fifo-queues-adr-ios-027.md	Ever-Rolling FIFO Queues (ADR-IOS-027)
32	current	340-346	88638792905cabb160a80bbb359530c392608a5e8e213145d4a744a2341dbb1f	Companion/Memory/Current/032-bounded-memory-critical.md	Bounded Memory (CRITICAL)
33	current	347-358	6312776d2a97927b059e8c12b9bbede8528ff976a873b7e1fb0437dac5a41335	Companion/Memory/Current/033-optimistic-ui-rollback.md	Optimistic UI Rollback
34	current	359-369	029248a931c1fddb36f5fbf3fa614c78da32cbcdaee5a903f4e9795360286a73	Companion/Memory/Current/034-gmail-label-system.md	Gmail Label System
35	current	370-386	582afb57c5abc0cf8c0b47648f7c674fdc4746f3b32661c059d36850c7672314	Companion/Memory/Current/035-swiftui-observable-array-mutation-safety.md	SwiftUI Observable Array Mutation Safety
36	current	387-398	a8ddc69afff6882db14f3c327c1d4aab05c731ec9a9ca7d0e0b9f554661d79e5	Companion/Memory/Current/036-swiftui-layout-gotchas.md	SwiftUI Layout Gotchas
37	current	399-434	8c6143229741144703ea64bbedb469ecf4099e3424d60b6947238db5cb0ca874	Companion/Memory/Current/037-html-email-render-pipeline-autosizinghtmlview-must-stay-idempotent-adr-i.md	HTML Email Render Pipeline (AutoSizingHTMLView) — MUST stay idempotent (ADR-IOS-039)
38	current	435-439	0f22100ace930e3a11e7099faeb806b334f59067aa4828f35b37413506c4c318	Companion/Memory/Current/038-swift-gotchas.md	Swift Gotchas
39	current	440-444	db5e71c57f1ec01ab3ac8ec8139de97197d628b371e5349bbeffbcc678b14a2d	Companion/Memory/Current/039-folder-must-include-every-ui-visible-field.md	Folder.== must include every UI-visible field
40	current	445-451	a7b2fefb16edd121aba5963a5d4d88451bb0b0b424386d9265531e77c0ed8f17	Companion/Memory/Current/040-imap-folder-role-detection-dedup-icloud-trash-deleted-messages.md	IMAP Folder Role Detection & Dedup (iCloud "Trash" + "Deleted Messages")
41	current	452-463	297c538b4d8bca13865f8cf581d617edba91ab3c707815533507357785655f33	Companion/Memory/Current/041-two-tier-sync-adr-ios-009.md	Two-Tier Sync (ADR-IOS-009)
42	current	464-472	e1d053c69d89cee89a0fff22ddf88cd5b17dba4bb6001d2bfbebdbd72dff59e0	Companion/Memory/Current/042-syncstartup-budget-discipline-v50-v51-lesson.md	`syncStartup` Budget Discipline (v50/v51 lesson)
43	current	473-477	428972089e1af33ad2cd6252ae636cc1980bf3ba91b1b3fa338148214a7a2ab2	Companion/Memory/Current/043-stale-message-detection-syncmessages.md	Stale Message Detection (syncMessages)
44	current	478-481	bd74aa45d147ce01e9e8294d2ed7aae7b1c8ac1a264012a5215c76d09a92687c	Companion/Memory/Current/044-benign-sync-log-noise-draftupsertskip-gmail-429-diagnosed-2026-06-09.md	Benign Sync Log Noise — DraftUpsertSkip + Gmail 429 (diagnosed 2026-06-09)
45	current	482-489	9d3a851430c33dd26acb4648fb641ad013899aa90c3b034e1e8d5f686a9dfa24	Companion/Memory/Current/045-transient-provider-http-errors-must-not-surface-as-a-sync-failure-syncen.md	Transient provider HTTP errors must NOT surface as a sync failure — `SyncEngine.isTransientError` (2026-06-17)
46	current	490-496	b5dcf4d78d489f9e7bf5501290e0261e0518826549191f0eb393ae14efcf3968	Companion/Memory/Current/046-raw-nio-error-types-must-be-added-to-isconnectionerror-by-nserror-domain.md	Raw NIO error types must be added to `isConnectionError` by NSError DOMAIN, not substring (2026-07-04)
47	current	497-511	8bdc877fcadcb9e70b1b563731da08a1ce8744aff671797c852648145e2701a5	Companion/Memory/Current/047-ics-calendar-import-invisible-sfsafariviewcontroller-hack.md	ICS Calendar Import — Invisible SFSafariViewController Hack
48	current	512-525	79114e34d1827ab904a7e053a524b0abe1b951b85289759896a0a56da4d803b1	Companion/Memory/Current/048-attachment-support.md	Attachment Support
49	current	526-534	f973a7386bba726d37244aaffe334c0732b30a5e96d3968578155045bb3bd63f	Companion/Memory/Current/049-compose-ai-suggestion-chat-pill-edits-suggestion-in-place-when-bubble-is.md	Compose AI Suggestion — chat pill edits suggestion in place when bubble is visible
